Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,0.0,[D@16b2bb0c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
2,0.0,[D@327af41b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
3,0.0,[D@6cb6decd,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
4,0.0,[D@c7045b9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
5,0.0,[D@f99f5e0,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
6,0.0,[D@6aa61224,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
7,0.0,[D@30bce90b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
8,0.0,[D@3e6f3f28,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
9,0.0,[D@7e19ebf0,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
10,0.0,[D@2474f125,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
11,0.0,[D@7357a011,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
12,0.0,[D@3406472c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
13,0.0,[D@5717c37,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
14,0.0,[D@68f4865,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
15,0.0,[D@4816278d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
16,0.0,[D@4eaf3684,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
17,0.0,[D@40317ba2,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
18,0.0,[D@3c01cfa1,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
19,0.0,[D@45d2ade3,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
20,0.0,[D@727eb8cb,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
21,0.0,[D@39d9314d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
22,0.0,[D@b978d10,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
23,0.0,[D@5b7a8434,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
24,0.0,[D@5c45d770,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
25,0.0,[D@2ce6c6ec,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
26,0.0,[D@1bae316d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
27,0.0,[D@147a5d08,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
28,0.0,[D@6676f6a0,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
29,0.0,[D@7cbd9d24,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
30,0.0,[D@1672fe87,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
31,0.0,[D@5026735c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
32,0.0,[D@1b45c0e,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
33,0.0,[D@11f0a5a1,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
34,0.0,[D@10f7f7de,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
35,0.0,[D@73a8da0f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
36,0.0,[D@50dfbc58,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
37,0.0,[D@4416d64f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
38,0.0,[D@6bf08014,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
39,0.0,[D@5e3d57c7,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
40,0.0,[D@732d0d24,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
41,0.0,[D@1fb19a0,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
42,0.0,[D@6ee4d9ab,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
43,0.0,[D@5a5338df,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
44,0.0,[D@418c5a9c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
45,0.0,[D@18e36d14,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
46,0.0,[D@5082d622,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
47,0.0,[D@13d4992d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
48,0.0,[D@302f7971,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
49,0.0,[D@332729ad,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
50,0.0,[D@75d2da2d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
51,0.0,[D@4278284b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
52,0.0,[D@9573584,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
53,0.0,[D@3370f42,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
54,0.0,[D@6057aebb,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
55,0.0,[D@63eef88a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
